CLID	CLID	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
CLID	CLID	Melanoma_Scorr_Immune_Cell.2015_PMID.26091043	Melanoma_Scorr_Immune_Cell.2015_PMID.26091043	Melanoma_Scorr_Immune_Cell.2015_PMID.26091043	Melanoma_Scorr_Immune_Cell.2015_PMID.26091043	Melanoma_Scorr_Keratin_Cell.2015_PMID.26091043	Melanoma_Scorr_Keratin_Cell.2015_PMID.26091043	Melanoma_Scorr_Keratin_Cell.2015_PMID.26091043	Melanoma_Scorr_Keratin_Cell.2015_PMID.26091043	Melanoma_Scorr_MITF.low_Cell.2015_PMID.26091043	Melanoma_Scorr_MITF.low_Cell.2015_PMID.26091043	Melanoma_Scorr_MITF.low_Cell.2015_PMID.26091043	Melanoma_Scorr_MITF.low_Cell.2015_PMID.26091043
1209	CLPTM1|1209	1.318136072	1.318136072	1.318136072	1.318136072	1.439887166	1.439887166	1.439887166	1.439887166	1.318136072	1.318136072	1.318136072	1.318136072
1230	CCR1|1230	0.083938271	0.083938271	0.083938271	0.083938271	-0.191438565	-0.191438565	-0.191438565	-0.191438565	0.083938271	0.083938271	0.083938271	0.083938271
1233	CCR4|1233	-0.871000618	-0.871000618	-0.871000618	-0.871000618	-1.371213011	-1.371213011	-1.371213011	-1.371213011	-1.371213011	-1.371213011	-1.371213011	-1.371213011
1234	CCR5|1234	0.34214232	0.34214232	0.34214232	0.34214232	-0.161926327	-0.161926327	-0.161926327	-0.161926327	-0.161926327	-0.161926327	-0.161926327	-0.161926327
1235	CCR6|1235	-0.541358235	-0.541358235	-0.541358235	-0.541358235	-0.939527037	-0.939527037	-0.939527037	-0.939527037	-0.939527037	-0.939527037	-0.939527037	-0.939527037
1236	CCR7|1236	0.101742952	0.101742952	0.101742952	0.101742952	-0.514736686	-0.514736686	-0.514736686	-0.514736686	-0.514736686	-0.514736686	-0.514736686	-0.514736686
1237	CCR8|1237	-1.24360541	-1.24360541	-1.24360541	-1.24360541	-1.640982917	-1.640982917	-1.640982917	-1.640982917	-1.640982917	-1.640982917	-1.640982917	-1.640982917
1240	CMKLR1|1240	0.215299263	0.215299263	0.215299263	0.215299263	-0.052284935	-0.052284935	-0.052284935	-0.052284935	0.215299263	0.215299263	0.215299263	0.215299263
1244	ABCC2|1244	-0.162904122	-0.162904122	-0.162904122	-0.162904122	-0.162904122	-0.162904122	-0.162904122	-0.162904122	-1.004329582	-1.004329582	-1.004329582	-1.004329582
1269	CNR2|1269	-1.257497656	-1.257497656	-1.257497656	-1.257497656	-1.755764514	-1.755764514	-1.755764514	-1.755764514	-1.755764514	-1.755764514	-1.755764514	-1.755764514
1298	COL9A2|1298	-0.28995696	-0.28995696	-0.28995696	-0.28995696	-0.28995696	-0.28995696	-0.28995696	-0.28995696	0.25505728	0.25505728	0.25505728	0.25505728
1299	COL9A3|1299	0.208059463	0.208059463	0.208059463	0.208059463	0.208059463	0.208059463	0.208059463	0.208059463	1.026124891	1.026124891	1.026124891	1.026124891
1308	COL17A1|1308	-1.165582424	-1.165582424	-1.165582424	-1.165582424	-0.346189231	-0.346189231	-0.346189231	-0.346189231	-1.165582424	-1.165582424	-1.165582424	-1.165582424
1363	CPE|1363	0.136474932	0.136474932	0.136474932	0.136474932	0.136474932	0.136474932	0.136474932	0.136474932	0.612219788	0.612219788	0.612219788	0.612219788
1378	CR1|1378	-0.145433412	-0.145433412	-0.145433412	-0.145433412	-0.622153464	-0.622153464	-0.622153464	-0.622153464	-0.622153464	-0.622153464	-0.622153464	-0.622153464
1380	CR2|1380	-0.288392717	-0.288392717	-0.288392717	-0.288392717	-1.134013561	-1.134013561	-1.134013561	-1.134013561	-1.134013561	-1.134013561	-1.134013561	-1.134013561
1404	HAPLN1|1404	-1.203906287	-1.203906287	-1.203906287	-1.203906287	-1.203906287	-1.203906287	-1.203906287	-1.203906287	-0.072919488	-0.072919488	-0.072919488	-0.072919488
1435	CSF1|1435	0.449292845	0.449292845	0.449292845	0.449292845	0.230208585	0.230208585	0.230208585	0.230208585	0.449292845	0.449292845	0.449292845	0.449292845
1436	CSF1R|1436	0.646647078	0.646647078	0.646647078	0.646647078	0.328880361	0.328880361	0.328880361	0.328880361	0.646647078	0.646647078	0.646647078	0.646647078
1439	CSF2RB|1439	0.405613839	0.405613839	0.405613839	0.405613839	-0.024088293	-0.024088293	-0.024088293	-0.024088293	-0.024088293	-0.024088293	-0.024088293	-0.024088293
1462	VCAN|1462	0.866628953	0.866628953	0.866628953	0.866628953	0.866628953	0.866628953	0.866628953	0.866628953	1.355608804	1.355608804	1.355608804	1.355608804
1474	CST6|1474	-1.681723859	-1.681723859	-1.681723859	-1.681723859	-1.114281753	-1.114281753	-1.114281753	-1.114281753	-1.681723859	-1.681723859	-1.681723859	-1.681723859
1476	CSTB|1476	1.348099013	1.348099013	1.348099013	1.348099013	1.348099013	1.348099013	1.348099013	1.348099013	1.064857295	1.064857295	1.064857295	1.064857295
1509	CTSD|1509	2.137937929	2.137937929	2.137937929	2.137937929	2.137937929	2.137937929	2.137937929	2.137937929	1.854808407	1.854808407	1.854808407	1.854808407
