CLID	Name	4180	4175	4173	4142	3481	SCP 6	SCP 21	SCP 26	Parental	SCP 25	SCP 46	SCP 2	1833
"(Pcorr_Breast2Lung_LM2=LM2 like, Pcorr_Breast2Lung_Parental=Parental like)"	NaN	Pcorr_Breast2Lung_LM2_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_LM2_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_LM2_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_LM2_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_LM2_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480
23250	"ATPase, Class VI, type 11A"	-0.286	-0.286	-0.255	0	0.023	0.398	0.11	0.347	1.376	-1.118	-3.28	-1.483	0.577
57214	KIAA1199	-0.262	-0.384	-0.573	-0.25	-1.477	2.922	1.945	4.25	3.456	0.394	1.049	-1.353	0
1291	"Collagen, type VI, alpha 1"	1.701	2.828	2.278	1.252	2.094	-2.671	-1.09	0	0.05	-1.523	-3.474	-1.715	-0.215
4739	"Neural precursor cell expressed, developmentally down-regulated 9"	0	-1.197	0.159	-0.336	-0.592	0.384	1.142	2.867	1.445	1.462	-0.023	-0.802	-0.345
81606	Limb bud and heart development homolog (mouse)	-0.694	-0.759	-0.598	-2.091	-2.021	0	0.693	1.238	1.039	0.589	0.642	0.747	-0.606
7025	"Nuclear receptor subfamily 2, group F, member 1"	0.026	0.499	0.026	0.146	-0.081	-3.494	-3.83	-2.626	-1.451	0	0.473	-0.541	0.092
2995	Glycophorin C (Gerbich blood group)	2.721	2.806	2.948	2.126	2.836	-1.138	-0.647	-0.392	-0.866	2.163	0	-0.402	-1.313
51129	Angiopoietin-like 4	0	1.033	0.01	0.873	0.424	-0.798	-1.253	-2.708	-1.68	-0.51	0.583	0.946	-1.273
5003	"Solute carrier family 22 (organic cation transporter), member 18 antisense"	1.787	1.215	1.796	1.226	1.607	-1.103	-0.097	-0.915	0	-0.8	-0.257	-1.16	0.256
2115	Ets variant gene 1	1.182	1.297	1.265	0	0.965	-0.54	-0.796	-0.614	-0.284	-0.862	0.357	0.054	-0.295
4061	"Lymphocyte antigen 6 complex, locus E"	-0.703	-1.14	-1.759	-0.621	0.149	-0.387	0.503	1.608	1.782	0.653	-1.797	0	0.133
3821	"Killer cell lectin-like receptor subfamily C, member 1"	2.348	1.545	1.763	0.662	2.326	-2.215	-0.852	-0.321	-3.09	-1.304	0	0.497	-3.068
5799	"Protein tyrosine phosphatase, receptor type, N polypeptide 2"	4.913	5.303	5.16	0.294	4.735	0	-0.134	-0.462	-0.436	-0.186	-0.462	-0.399	1.206
8714	"ATP-binding cassette, sub-family C (CFTR/MRP), member 3"	0.132	-0.187	-0.176	0	1.951	3.479	2.48	3.744	3.448	-0.273	-0.1	-1.782	-1.202
4803	"Nerve growth factor, beta polypeptide"	-1.7	-1.311	-0.827	-0.071	-2.335	0.774	-1.479	1.012	1.01	1.008	0	1.112	0.381
64663	"SPANX family, member C"	0.195	-0.194	0	1.903	1.175	-3.355	-6.366	-1.973	-2.124	1.586	1.432	-0.544	1.688
397	Rho GDP dissociation inhibitor (GDI) beta	0.09	0.138	-0.018	0	0.162	-0.979	-2.394	-3.523	-1.96	0.429	0.034	0.182	-0.743
